,feat,classifier,filter,f1_mean,f1_std,bcc_mean,bcc_std,auc_mean,auc_std
0,CLIP,RandomForestClassifier,pmap,0.8872,0.00039999999999995595,0.8872,0.00039999999999995595,0.9878191944444443,0.00012445777777775335
1,CLIP,RandomForestClassifier,nlmeans,0.8110666666666666,0.00379999999999997,0.8110666666666667,0.0038000000000000256,0.9671765608333334,0.0012460219444445086
2,CLIP,RandomForestClassifier,gaussian,0.8494333333333333,0.001833333333333298,0.8494333333333333,0.0018333333333333535,0.9791953213888889,0.00036211472222225094
3,CLIP,RandomForestClassifier,cross,0.6698333333333333,3.333333333338517e-05,0.6698333333333333,3.333333333327415e-05,0.9026911008333334,0.00034016527777780414
4,CLIP,RandomForestClassifier,mean,0.8611666666666666,0.001433333333333342,0.8611666666666667,0.0014333333333333975,0.9822874061111111,0.0002044177777777989
5,CLIP,RandomForestClassifier,none,0.6267,0.0011666666666666492,0.6267,0.0011666666666665937,0.8762297227777778,0.0002671127777777449
6,CLIP,RandomForestClassifier,matthias,0.6302666666666666,0.0018666666666666831,0.6302666666666668,0.0018666666666666276,0.8991149561111111,0.0004278794444443901
7,CLIP,RandomForestClassifier,access,0.8520666666666666,0.0010000000000000009,0.8520666666666665,0.0010000000000000564,0.9797471313888888,0.00010475527777775717
0,CLIP,XGBClassifier,access,0.8927,0.00030000000000002247,0.8927,0.00030000000000002247,0.9896046175,1.8276388888904815e-05
1,CLIP,XGBClassifier,mean,0.9026666666666667,0.000933333333333286,0.9026666666666666,0.0009333333333333416,0.9912067577777778,0.00018243333333334277
2,CLIP,XGBClassifier,gaussian,0.8876333333333333,0.0006999999999999784,0.8876333333333333,0.0006999999999999784,0.9889803763888889,0.0002907402777778123
3,CLIP,XGBClassifier,nlmeans,0.8421666666666666,0.0030333333333333323,0.8421666666666667,0.003033333333333277,0.9771337097222224,0.0008197575000000179
4,CLIP,XGBClassifier,matthias,0.6432333333333333,0.00029999999999996696,0.6432333333333333,0.00029999999999996696,0.9055189025,0.0002022547222223503
5,CLIP,XGBClassifier,pmap,0.9237,0.0006333333333333191,0.9237,0.0006333333333332081,0.9942933033333334,0.000174336666666719
6,CLIP,XGBClassifier,none,0.6352333333333333,0.0013666666666666827,0.6352333333333333,0.0013666666666666272,0.889050245,0.0002903511111111423
7,CLIP,XGBClassifier,cross,0.6914,0.00013333333333331865,0.6914,0.00013333333333331865,0.9224570688888889,0.0009240500000000651
