feat,classifier,filter,bcc_mean,bcc_std,auc_mean,auc_std
DINOV1,IsolationForest,access,0.5346249999999999,0.0198333333333333,0.5048712361111111,0.0561256805555555
DINOV1,OneClassSVM,nlmeans,0.72475,0.0437916666666666,0.7281920208333333,0.0967958819444444
DINOV1,OneClassSVM,matthias,0.7466458333333333,0.0321041666666667,0.7574673680555557,0.0599350763888889
DINOV1,OneClassSVM,pmap,0.7171041666666667,0.0808124999999999,0.7346112777777778,0.1015104722222222
DINOV1,OneClassSVM,access,0.5423958333333334,0.0223125,0.5073956527777778,0.0514699861111111
DINOV1,OneClassSVM,cross,0.513,0.0095416666666666,0.4538431805555556,0.0384541527777777
DINOV1,OneClassSVM,none,0.5339166666666666,0.0317083333333333,0.5157686527777777,0.0733572083333332
DINOV1,OneClassSVM,gaussian,0.5346666666666666,0.0122083333333333,0.5075177083333333,0.0470715694444445
DINOV1,OneClassSVM,mean,0.5272291666666666,0.0030208333333333,0.493401875,0.0140970416666666
DINOV1,PCA,nlmeans,0.8315,0.0047916666666666,0.8800041180555556,0.0084360902777777
DINOV1,PCA,matthias,0.6673333333333333,0.0306666666666666,0.7169813541666665,0.0221012291666667
DINOV1,PCA,pmap,0.6806458333333334,0.0094791666666666,0.6516098055555555,0.0514547222222221
DINOV1,PCA,access,0.5722083333333333,0.03175,0.5656268333333333,0.069757611111111
DINOV1,PCA,gaussian,0.5801875,0.0293124999999999,0.57893225,0.0625610277777777
DINOV1,PCA,mean,0.5599791666666667,0.0135624999999999,0.5499289583333333,0.0294321805555556
DINOV1,PCA,none,0.5393125,0.0393124999999999,0.5209160694444444,0.0850905138888888
DINOV1,PCA,cross,0.5314791666666667,0.0314791666666666,0.5095570833333334,0.0725084166666666
DINOV2,IsolationForest,nlmeans,0.7651875,0.0327708333333333,0.8197848263888889,0.0230330624999999
DINOV2,IsolationForest,matthias,0.7197291666666668,0.0166875,0.7649240208333332,0.0283886319444444
DINOV2,IsolationForest,pmap,0.6563541666666667,0.0881874999999999,0.6868219166666667,0.120332111111111
DINOV2,IsolationForest,gaussian,0.5846666666666667,0.0154999999999999,0.6046144583333333,0.0127274305555555
DINOV2,IsolationForest,none,0.5655833333333333,0.0054583333333333,0.5894295972222223,0.0023157083333333
DINOV2,IsolationForest,access,0.5819791666666667,0.0376041666666666,0.5963994444444445,0.0503239722222221
DINOV2,IsolationForest,cross,0.5339583333333333,0.010375,0.53907875,0.0155734444444444
DINOV2,IsolationForest,mean,0.5348958333333333,0.0003541666666666,0.5439356805555555,0.0016361527777777
DINOV2,OneClassSVM,nlmeans,0.7377499999999999,0.026125,0.7569606875,0.0233039652777777
DINOV2,OneClassSVM,matthias,0.7068125000000001,0.0054791666666666,0.7623986736111111,0.0131357569444444
DINOV2,OneClassSVM,pmap,0.6834791666666666,0.0557708333333333,0.712987375,0.0878410972222221
DINOV2,OneClassSVM,none,0.5635833333333333,0.0034583333333333,0.5853195,0.0085735277777777
DINOV2,OneClassSVM,mean,0.5371250000000001,0.0019583333333333,0.5414199444444445,0.0003171944444445
DINOV2,OneClassSVM,gaussian,0.5891458333333333,0.0099374999999999,0.6128645972222222,0.0090177083333333
DINOV2,OneClassSVM,cross,0.5293125000000001,0.0036041666666666,0.5368646666666668,0.0062102222222222
DINOV2,OneClassSVM,access,0.5902708333333333,0.0193125,0.6132595833333334,0.0297103888888888
DINOV2,PCA,nlmeans,0.7961666666666667,0.01475,0.8519505069444444,0.0092032430555554
DINOV2,PCA,matthias,0.7125833333333333,0.010375,0.7254083124999999,0.0380977847222221
DINOV2,PCA,pmap,0.667875,0.0657499999999999,0.6568551805555556,0.1110425416666666
DINOV2,PCA,gaussian,0.6178958333333333,0.0243958333333333,0.6660448333333333,0.0256329166666666
DINOV2,PCA,access,0.6261666666666668,0.0367083333333332,0.6476192083333332,0.0616400416666666
DINOV2,PCA,none,0.5862708333333333,0.0031041666666666,0.6250152638888888,0.0085300972222222
DINOV2,PCA,mean,0.5553958333333333,0.0100208333333333,0.5740821111111111,0.0125709166666666
DINOV2,PCA,cross,0.5517083333333334,0.0018749999999999,0.5718622916666667,0.0001391527777777
CLIP,IsolationForest,nlmeans,0.7461458333333333,0.0028124999999999,0.7497278263888889,0.0550716180555555
CLIP,IsolationForest,matthias,0.609875,0.0032083333333333,0.5838835277777777,0.0039810277777777
CLIP,IsolationForest,pmap,0.6872083333333333,0.04425,0.7498229097222222,0.0692462430555555
CLIP,IsolationForest,mean,0.5325833333333334,0.0148333333333333,0.4862680833333333,0.0033737222222222
CLIP,IsolationForest,access,0.5035000000000001,0.0007083333333333,0.4678005347222222,0.0065795486111111
CLIP,IsolationForest,gaussian,0.5321458333333333,0.0210624999999999,0.5000925555555555,0.0236804999999999
CLIP,IsolationForest,none,0.5042708333333333,0.0038124999999999,0.4604444166666667,0.0048841666666666
CLIP,IsolationForest,cross,0.5022291666666667,0.0016875,0.4588558055555556,0.002110361111111
CLIP,OneClassSVM,nlmeans,0.7037083333333334,0.0068749999999999,0.6716928541666667,0.0708744652777777
CLIP,OneClassSVM,matthias,0.6791458333333333,0.0092291666666666,0.6667473819444444,0.0114059791666666
CLIP,OneClassSVM,pmap,0.6998125,0.0023124999999999,0.7411786805555556,0.0288559861111111
CLIP,OneClassSVM,access,0.5946458333333333,0.0153125,0.6099987777777778,0.0004054722222222
CLIP,OneClassSVM,none,0.5039166666666667,0.0012916666666666,0.4682770138888888,0.0155167083333332
CLIP,OneClassSVM,gaussian,0.5566666666666666,0.0165833333333333,0.5654000416666667,0.0269163194444443
CLIP,OneClassSVM,cross,0.5027291666666667,0.0007708333333333,0.4682339722222222,0.0141870833333333
CLIP,OneClassSVM,mean,0.5537916666666667,0.0107083333333333,0.5705337222222222,0.0162949444444444
CLIP,PCA,nlmeans,0.7805416666666667,0.01075,0.8479380624999999,0.0309429375
CLIP,PCA,matthias,0.5315208333333333,0.0315208333333333,0.4032964791666666,0.1469509375
CLIP,PCA,access,0.5002916666666667,0.0002916666666666,0.4192549444444444,0.0186855833333333
CLIP,PCA,pmap,0.6140416666666666,0.08925,0.6118215555555555,0.122593
CLIP,PCA,mean,0.5060625,0.0060624999999999,0.4140942083333333,0.0113144305555555
CLIP,PCA,gaussian,0.5172708333333333,0.0052708333333333,0.450832,0.0298389444444444
CLIP,PCA,none,0.5010208333333334,0.0008124999999999,0.4551844027777778,0.0055492361111111
CLIP,PCA,cross,0.5030833333333333,0.00175,0.4606600555555555,0.0048235833333333
PATCH-FFT-PEAKS,IsolationForest,gaussian,0.8592708333333334,0.0191041666666666,0.9351204861111112,0.0107764027777777
PATCH-FFT-PEAKS,IsolationForest,mean,0.8552500000000001,0.0145416666666666,0.9330947152777778,0.0084454236111111
PATCH-FFT-PEAKS,IsolationForest,access,0.86275,0.0131666666666666,0.9372941180555556,0.007941048611111
