,feat,classifier,filter,bcc_mean,bcc_std,auc_mean,auc_std
3,FFT-GLCM,IsolationForest,cross,0.6202666666666667,0.017533333333333345,0.8035733488888889,0.00010439555555552538
4,FFT-GLCM,IsolationForest,nlmeans,0.6926666666666667,0.053333333333333344,0.8267085227777777,0.004324310555555544
5,FFT-GLCM,IsolationForest,none,0.5958000000000001,0.02560000000000001,0.7799944841666666,0.0018415197222221846
6,FFT-GLCM,IsolationForest,mean,0.7049666666666665,0.011900000000000022,0.8480871005555556,0.0027541549999999804
7,FFT-GLCM,IsolationForest,gaussian,0.651,0.012133333333333274,0.8604887213888888,0.0028990458333333913
0,FFT-GLCM,OneClassSVM,nlmeans,0.35450000000000004,0.008300000000000002,0.6163730733333332,0.01802376555555557
1,FFT-GLCM,OneClassSVM,matthias,0.3276,0.00020000000000000573,0.648888105,0.00215414166666672
2,FFT-GLCM,OneClassSVM,mean,0.30376666666666663,0.001899999999999985,0.6301847772222222,0.0018932994444444406
3,FFT-GLCM,OneClassSVM,access,0.3005333333333333,0.010866666666666691,0.6281710388888888,0.005380342222222223
4,FFT-GLCM,OneClassSVM,cross,0.3440666666666667,0.0010000000000000009,0.6080528433333334,4.813333333336667e-05
5,FFT-GLCM,OneClassSVM,gaussian,0.32686666666666664,0.0041999999999999815,0.6708319905555556,0.0008076750000000077
6,FFT-GLCM,OneClassSVM,pmap,0.30296666666666666,0.01469999999999999,0.6017720138888889,0.002853522777777784
7,FFT-GLCM,OneClassSVM,none,0.3330333333333333,0.003233333333333338,0.6075875572222222,0.0023896716666667595
0,FFT-GLCM,PCA,mean,0.45666666666666667,0.0002666666666666373,0.6901090716666667,0.0054411638888889335
1,FFT-GLCM,PCA,access,0.42046666666666666,0.0009333333333333138,0.6778860338888888,0.008521713888888838
2,FFT-GLCM,PCA,gaussian,0.4935,0.0025000000000000022,0.7302456711111112,0.003218944444444427
3,FFT-GLCM,PCA,cross,0.44683333333333336,0.006366666666666632,0.6766264394444444,0.0019700405555554967
4,FFT-GLCM,PCA,matthias,0.5337333333333334,0.015733333333333377,0.729237381111111,0.0018285122222221895
5,FFT-GLCM,PCA,pmap,0.5536666666666666,0.02726666666666666,0.6992676505555555,0.0030543861111111403
6,FFT-GLCM,PCA,nlmeans,0.49679999999999996,0.07366666666666671,0.7047508666666666,0.018989908888888907
7,FFT-GLCM,PCA,none,0.43276666666666663,0.007700000000000012,0.6862310611111111,0.0014757833333333692
0,GLCM,IsolationForest,access,0.7470666666666668,0.018799999999999983,0.8752849930555556,0.004973506944444428
1,GLCM,IsolationForest,matthias,0.838,0.021133333333333337,0.9165684180555556,0.016127981388888823
2,GLCM,IsolationForest,mean,0.7330666666666668,0.0020666666666667166,0.85078068,0.006060619444444415
3,GLCM,IsolationForest,none,0.44899999999999995,0.01279999999999995,0.6684188522222222,0.004161276666666658
4,GLCM,IsolationForest,cross,0.48893333333333333,0.02200000000000002,0.6897758238888889,0.0026877916666667168
5,GLCM,IsolationForest,pmap,0.7613666666666667,0.005766666666666641,0.8904149458333332,0.00342624972222233
